State,Coordinates
Uttar Pradesh,"{'Latitude': 25.0329, 'Longitude': 82.5856}"
Uttar Pradesh,"{'Latitude': 25.2099, 'Longitude': 82.6101}"
Uttar Pradesh,"{'Latitude': 24.6862, 'Longitude': 83.0664}"
Uttar Pradesh,"{'Latitude': 26.2207, 'Longitude': 84.3684}"
Uttar Pradesh,"{'Latitude': 26.8711, 'Longitude': 83.1058}"
Uttar Pradesh,"{'Latitude': 26.9837, 'Longitude': 84.8525}"
Uttar Pradesh,"{'Latitude': 25.1694, 'Longitude': 83.6194}"
Uttar Pradesh,"{'Latitude': 25.7412, 'Longitude': 82.686}"
Uttar Pradesh,"{'Latitude': 26.5339, 'Longitude': 83.757}"
Uttar Pradesh,"{'Latitude': 26.9034, 'Longitude': 83.9705}"
Uttar Pradesh,"{'Latitude': 27.1985, 'Longitude': 83.196}"
Uttar Pradesh,"{'Latitude': 26.4486, 'Longitude': 82.8953}"
Uttar Pradesh,"{'Latitude': 25.7529, 'Longitude': 82.6888}"
Uttar Pradesh,"{'Latitude': 25.3361, 'Longitude': 82.4735}"
Uttar Pradesh,"{'Latitude': 25.1657, 'Longitude': 83.6248}"
Uttar Pradesh,"{'Latitude': 27.5241, 'Longitude': 82.6517}"
Uttar Pradesh,"{'Latitude': 27.2967, 'Longitude': 82.3964}"
Uttar Pradesh,"{'Latitude': 26.1635, 'Longitude': 82.3701}"
Uttar Pradesh,"{'Latitude': 25.3095, 'Longitude': 83.0033}"
Uttar Pradesh,"{'Latitude': 25.8961, 'Longitude': 84.038}"
Uttar Pradesh,"{'Latitude': 26.1713, 'Longitude': 82.7229}"
Uttar Pradesh,"{'Latitude': 25.1528, 'Longitude': 82.5811}"
Uttar Pradesh,"{'Latitude': 26.7933, 'Longitude': 82.72}"
Uttar Pradesh,"{'Latitude': 26.3111, 'Longitude': 82.7349}"
Uttar Pradesh,"{'Latitude': 24.9537, 'Longitude': 84.0055}"
Uttar Pradesh,"{'Latitude': 24.1608, 'Longitude': 83.8084}"
Uttar Pradesh,"{'Latitude': 25.3038, 'Longitude': 82.9566}"
Uttar Pradesh,"{'Latitude': 27.2004, 'Longitude': 82.4997}"
Uttar Pradesh,"{'Latitude': 25.0397, 'Longitude': 83.6129}"
Uttar Pradesh,"{'Latitude': 26.7393, 'Longitude': 83.8361}"
Uttar Pradesh,"{'Latitude': 25.3084, 'Longitude': 83.0055}"
Uttar Pradesh,"{'Latitude': 26.1364, 'Longitude': 83.5337}"
Uttar Pradesh,"{'Latitude': 26.0334, 'Longitude': 83.3808}"
